2020-05-03 07:10:05 -  - __logger: Loaded
2020-05-03 15:11:34 - SEME SEME_VERSION Bootstrap started
2020-05-03 15:11:47 - SEME 4.0.0 Bootstrap started
2020-05-03 15:13:09 - SEME 4.0.0 Bootstrap started
2020-05-03 15:16:58 - SEME 4.0.0 Bootstrap started
2020-05-03 15:19:12 - SEME 4.0.0 Bootstrap started
2020-05-03 15:19:19 - SEME 4.0.0 Bootstrap started
2020-05-03 15:20:18 - SEME 4.0.0 Bootstrap started
2020-05-03 15:37:54 - SEME 4.0.0 Bootstrap started
2020-05-03 15:44:23 - SEME 4.0.0 Bootstrap started
2020-05-03 15:46:42 - SEME 4.0.0 Bootstrap started
2020-05-03 15:47:59 - SEME 4.0.0 Bootstrap started
